机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
霍各庄社区卫生服务站,怀柔区庙城镇霍各庄村,怀柔区,18910766382,否,,是,101401,
平义分社区卫生服务站,怀柔区桥梓镇平义分村,怀柔区,010-60633018,是,27162040,是,101402,
张各庄社区卫生服务站,怀柔区杨宋镇张各庄村,怀柔区,89618083,否,,是,101400,
八亩地社区卫生服务站,北京市怀柔区琉璃庙镇八亩地村,怀柔区,61617211,否,,否,101409,
安各庄社区卫生服务站,北京市怀柔区北房镇安各庄村,怀柔区,15311086708,否,,是,101400,
马道峪社区卫生服务站,北京市怀柔区马道峪社区卫生服务站,怀柔区,61621602,否,,是,101405,
三渡河社区卫生服务站,北京市怀柔区渤海镇三渡河村,怀柔区,61631743,否,,是,101405,
大水峪社区卫生服务站,怀柔区怀北镇大水峪村,怀柔区,13716255599,否,,是,101408,
东庄社区卫生服务站,怀柔区怀北镇东庄村,怀柔区,13716104892,否,,是,101408,
南华园四区卫生服务站,怀柔区南华园98号,怀柔区,69653715,是,27110012,是,101400,
石厂社区卫生服务站,怀柔镇石厂村,怀柔区,69640840,是,27110024,是,101400,
怀柔镇社区卫生服务中心,北京市怀柔区兴怀大街4号,怀柔区,69698120,是,27110026,是,101400,
湖光社区卫生服务站,北京市怀柔区湖光小区10号楼2单元102,怀柔区,69691063,是,27110019,是,101400,
滨湖社区卫生服务站,北京市怀柔区滨湖南街2号楼一层,怀柔区,69689433,是,27162007,是,101400,
富乐大街社区卫生服务站,北京市怀柔区富乐大街26号院1-1-101,怀柔区,69683130,是,27110016,是,101400,
金台园社区卫生服务站,北京市怀柔区金台园52楼4单元101,怀柔区,69652801,是,27162008,是,101400,
渤海镇社区卫生服务中心,北京市怀柔区渤海镇渤海所村西,怀柔区,61632391,是,27120011,是,101405,
南华社区卫生服务站,怀柔镇南关村,怀柔区,69696820,是,27162032,是,101400,
车站路社区卫生服务站,府前东街丙10号楼3单元102室,怀柔区,69602105,是,27162005,是,101400,
东帽湾社区卫生服务站,汤河口东帽湾村,怀柔区,89671926,否,,否,101411,
钓鱼台社区卫生服务站,怀柔镇钓鱼台村,怀柔区,51591868,是,26110022,是,101400,
