机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
二张营社区卫生服务站,北京市顺义区北石槽镇二张营村,顺义区,60424864,否,,是,101300,
双营社区卫生服务站,北京市顺义区南彩镇双营村,顺义区,89460031,否,,是,101300,
南聂庄社区卫生服务站,北京市顺义区大孙各庄镇南聂庄村,顺义区,61430560,否,,是,101308,
二十里铺社区卫生服务站,北京市顺义区天竺镇二十里堡村,顺义区,64569453,否,,是,101312,
兰营社区卫生服务站,顺义区牛栏山镇兰营大队西侧,顺义区,52135333,否,,是,101301,
建新北区社区卫生服务站,北京市顺义区建新北区,顺义区,69445307,是,13162008,是,101300,
洼里社区卫生服务站,北京市顺义区南彩镇洼里村,顺义区,89461839,否,,是,101300,
解放村社区卫生服务站,北京市顺义区赵全营镇解放村内,顺义区,60440104,否,,是,101300,
宏城花园社区卫生服务站,北京市顺义区宏城花园,顺义区,69448469,是,22162047,是,101300,
大北坞社区卫生服务站,北京市顺义区龙湾屯镇大北务村,顺义区,60462200,是,13190022,是,101306,
张喜庄社区卫生服务中心,北京市顺义区高丽营镇张喜庄村南,顺义区,69491442,是,13120009,是,101302,
曾庄社区卫生服务站,北京市顺义区杨镇曾庄村,顺义区,18618201169,否,,是,101309,
破罗口社区卫生服务站,北京市顺义区杨镇破罗口村,顺义区,18618201167,否,,是,101309,
白塔社区卫生服务站,北京市顺义区杨镇白塔村,顺义区,18618201162,是,22162072,是,101309,
龙湾屯社区卫生服务中心,北京市顺义区龙湾屯镇府前街17号,顺义区,60462200,是,13120022,是,101306,
丁甲庄社区卫生服务站,北京市顺义区龙湾屯镇丁甲庄村,顺义区,60463763,是,13190022,是,101306,
沙岭社区卫生服务中心,北京市顺平路沙岭段57号,顺义区,61444966,是,13120020,是,101309,
大曹庄社区卫生服务站,北京市顺义区杨镇大曹庄村,顺义区,18618201163,是,22162071,是,101309,
良善庄社区卫生服务站,北京市顺义区北石槽镇良善庄村,顺义区,60425652,否,,是,101300,
北务社区卫生服务站,北京市顺义区北务镇珠宝屯村,顺义区,61421715,否,,否,101300,
北小营社区卫生服务中心,北京市顺义区北小营镇府前街2号,顺义区,60483645,是,13120021,是,101305,
松各庄社区卫生服务站,北京市顺义区杨镇松各庄村,顺义区,01061414386,否,,是,101300,
田家营社区卫生服务站,顺义区杨镇田家营村,顺义区,61413130,否,,是,101300,
西杜兰社区卫生服务站,顺义区南法信镇西杜兰村南大街29号,顺义区,69478565,否,,是,101300,
马卷社区卫生服务站,北京市顺义区马坡镇马卷村,顺义区,69408927,否,,是,101300,
庙卷社区卫生服务站,北京市顺义区马坡镇庙卷村,顺义区,69407876,否,,是,101300,
